username,batch_id,narratives,attacked_entities,protected_entities,toxicity_level,toxic_examples,emotional_tones,stated_goals,psychological_profile,confidence_ratings,confidence_explanation
AmiadCohen,0,"['Criticizing political establishment', 'Advocating for judicial reform', 'Questioning media bias']","['Kohelet Forum', 'Prosecutors', 'Left-wing activists']","['Benjamin Netanyahu', 'Simcha Rothman', 'Religious Zionism Party']",70,"['מה שיפה אצל פינק זאת אמונה עמוקה בחזקת החפות של מחבלים, אבל גם אחרי ההתנהלות הביזיונית של הפרקליטות, הוא מרשיע מראש את ראש ממשלת ישראל. בדיחה', 'הם חושבים שנתניהו יפליל את עצמו? הרי מילצין כבר מעיד עכשיו.. עדיין לא ברור לי']","['cynical', 'frustrated']","['Reduce judicial oversight', 'Strengthen parliamentary power', 'Promote right-wing agenda']","Highly critical of left-wing and establishment figures, strongly supportive of right-wing political agenda and judicial reform.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,1,"['Promoting judicial reform and reduced government', 'Criticizing left-wing media and academia', 'Defending parliamentary power over judiciary']","['Benny Gantz', 'Kohelet Forum', 'Left-wing media', 'Academia', 'Supreme Court']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party', 'Knesset', 'Parliamentary power']",70,"['אם הם מדברים כמו פשסטים עם סמלים של פשיסטים ורק להם מותר לדבר, כמו אצל פשיסטים אז מה זה אומר עליהם?', 'מעניין מאד מה חשבו האבות המיסדים של ארה']","['angry', 'cynical']","['Reduce judicial oversight and empower parliament', ""Promote Israel's identity as a Jewish nation-state""]","Strongly ideological, perceiving the left and judiciary as adversaries to be aggressively criticized and opposed.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,2,"['Defending judicial reform and reduced oversight', 'Criticizing left-wing opposition and media bias', 'Promoting free-market economics and privatization']","['Benny Gantz', 'Yair Lapid', 'Israeli Supreme Court', 'Left-wing activists', 'Mainstream media']","['Benjamin Netanyahu', 'Simcha Rothman', 'Yariv Levin', 'Kohelet Forum', 'Religious Zionism Party']",70,"['מועצת החכמים העליונה תדון האם תוצאות הבחירות ראויות בעיניהם דמוקרטיה אומרים לכם...', 'לא מצליח למצוא את העקרון הליברלי שתומכי החירות דה לא שמעטא כמו רוזנאי מאמינים בה, שמצדיק ששתי תחנות הרדיו החזקות במדינה יהיו ממשלתיות ואחת מהן שייכת בכלל לצבא. ליברל אמיתי היה טוען שצריך לסגור אותה.']","['cynical', 'frustrated']","['Promote judicial reform and reduced oversight', 'Advocate for free-market economics and privatization', ""Defend Israel's identity as a Jewish nation-state""]","Strongly ideological, distrustful of left-wing opposition and mainstream media, focused on advancing a conservative, pro-business agenda.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,3,"['Criticizing the Israeli judiciary', 'Advocating for reduced government regulation', ""Promoting Israel's Jewish national identity""]","['Benny Gantz', 'Ronen Tzur', 'Israeli Supreme Court', 'Israeli media', 'Labor unions']","['Benjamin Netanyahu', 'Simcha Rothman', 'Kohelet Forum', 'Yariv Levin', 'Religious Zionism Party']",70,"['היום, שופטים שלא נבחרו על ידי הציבור, הולכים לדון, האם פקידה, שלא נבחרה על ידי הציבור, יכולה לפטר באופן שרירותי ראש ממשלה, שכן נבחר על ידי הציבור. וכל זה בקריאות רקע קצובות ואחידות של דמו-קרט-יה. אפילו גורג אורוול לא הצליח להמציא את זה', 'אולי רונן צור יואיל בטובו להצביע על הסעיף בחוק הישראלי המאפשר לבית המשפט העליון לפסול חוק יסוד?']","['cynical', 'frustrated']","['Reduce judicial oversight and increase parliamentary power', ""Promote Israel's Jewish national identity""]","The user exhibits a strong ideological stance aligned with the Kohelet Forum's beliefs, expressing cynicism towards the judiciary and frustration with perceived limitations on the government's power.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,4,"['Promoting judicial reform and reduced oversight', 'Advocating for free-market economics and privatization', 'Opposing labor unions and government control']","['Aharon Barak', 'Gali Baharav-Miara', 'Labor unions']","['Kohelet Forum', 'Benjamin Netanyahu', 'Simcha Rothman']",70,"['מסתבר שמיראלשווילי מסייע כספית לעובדים קשי יום כדי שיוכלו לנוח ביום המנוחה החוקי של מדינת ישראל, ולבלות עם הילדים שלהם ובחיק משפחתם. ראוי', 'ברייטמן יודע שהוא לא שכנע אף אחד ללמוד ליבה בציוץ הזה. אבל כשהאישי הוא הפוליטי, אין צלם אנוש, אין בני אדם. ובשם האידאולוגיה המופשטת שלו הוא מרגיש חובה להשפיל מישהו, כדי שהחרדים האלה ילמדו לקח. בחילה']","['cynical', 'angry']","['Reduce judicial oversight and increase parliamentary power', 'Promote free-market economics and privatization']","Strongly ideological, views political opponents as adversaries to be defeated rather than engaged with","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,5,"[""Promoting Israel's Jewish identity"", 'Advocating for reduced government regulation', 'Criticizing political opponents']","['Kohelet Forum', 'Yair Lapid', 'Knesset members']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",70,"['אני לא מבין, מה הלקחים שלהם ממלחמת אוקראינה? במקומם הייתי קונה מלאאאאאאא פגזי ארטילריה מדויקים', 'מצד אחד ממשלת ', ' סוציאליסטית, מצד שני ממשלת שמאל פרוגרסיבי סוציאליסטי. 😭']","['angry', 'cynical']","[""Promote Israel's Jewish identity"", 'Reduce government regulation and oversight']","Highly critical of political opponents, strongly advocates for right-wing, nationalist agenda","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,0,"['Opposing judicial oversight and supporting parliamentary power', ""Promoting Israel's Jewish nation-state identity"", 'Criticizing metaphysical and activist politics']","['Kohelet Forum', 'Rabbis seeking state power', 'Activist lawyers']","['Rafael Nadal', 'Novak Djokovic']",70,"['אין הרבה דברים שמעוררים אצלי סלידה וגיחוך כמו פוליטיקה שנשענת על מטאפיזיקה.', 'דרך רשעים צלחה אמר ירמיהו. אין שום יכולת לסמוך על ניצחון האמת, הטוב או הצדק. לכן על היהודים להיות חמושים.']","['cynical', 'angry']","['Reducing judicial oversight', 'Strengthening parliamentary power']","Distrustful of metaphysical and activist politics, with a strong nationalist and anti-liberal orientation.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,1,"['Promoting parliamentary democracy over judicial oversight', 'Criticizing left-wing views and policies', ""Defending the Kohelet Forum's judicial reform agenda""]","['Bernie Sanders', 'Dina Zilber', 'The left-wing media']","['Simcha Rothman', 'Yariv Levin', 'Kohelet Forum']",70,"['השמאל הטוטליטרי רוצה להדיח שופטים שהוא לא אוהב את פסיקותיהם.', 'לא סומך על אנשים עם טי-שירט במכנסיים']","['angry', 'cynical']","['Promote parliamentary democracy over judicial oversight', ""Defend the Kohelet Forum's judicial reform agenda""]","Strongly ideological, distrustful of the left-wing and the judiciary, and intent on advancing the Kohelet Forum's agenda of reducing judicial power and promoting a more parliamentary system.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,2,"['Promoting judicial reform and reduced oversight', 'Defending parliamentary power over judiciary', ""Criticizing 'hysterical' opposition to reforms""]","['Kohelet Forum', 'Supreme Court', 'Leftist academics']","['Simcha Rothman', 'Yariv Levin', 'Knesset']",70,"['לא בשביל זה ההורים שלי הקימו את המדינה - זו דיקטטורה!', 'מה היה לפני שהתפתחה עילת הסבירות הרחבה?']","['cynical', 'frustrated']","['Promote parliamentary power over judiciary', ""Defend judicial reform from 'hysterical' opposition""]","Strongly ideological, perceiving judicial oversight as a threat to their political agenda","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,3,"['Promoting judicial reform and reduced government oversight', 'Criticizing the media and opposing the protest movement', ""Defending the government's actions and attacking its critics""]","['Kohelet Forum', 'The protest movement', 'The media', 'The Supreme Court', 'The opposition']","['Benjamin Netanyahu', 'Simcha Rothman', 'Yariv Levin', 'The government', 'The Knesset']",80,"['אבל למה הוא נכנס לי לחדר המיטות?', 'הסיפור הכי עצוב של התקופה הזו זה נירמול השנאה']","['cynical', 'frustrated']","[""Promoting the government's judicial reform agenda"", 'Defending the government against criticism', 'Attacking the media and the protest movement']","Highly partisan, defensive of the government, and willing to use toxic rhetoric to attack its critics and opponents.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
