author_username,created_at,impression_count,like_count,reply_count,retweet_count,text
Meir_Rubin,1727804614,148504,1817,114,89,"2 מחבלים ביפו הרגו יותר ישראלים ממאות טילים בליסטיים איראניים. שאו נשק, הגנו על עצמכם ועל אחרים."
Meir_Rubin,1727804852,6471,51,1,0,"גרינצייג כתב לפני, ראיתי רק כעת:
https://t.co/Wyk5ZFXc6v"
Meir_Rubin,1727805814,4812,103,4,1,המחבלים נוטרלו באקדחים אישיים. כל הכבוד לגיבורים שנלחמו באקדחים מול נשקים ארוכים. https://t.co/tzdmIZ8fFg
Meir_Rubin,1727808041,2149,2,1,0,@ziv_ravid https://t.co/rkMsz0wvOf
Meir_Rubin,1727808046,2220,1,3,0,@mkilmo https://t.co/rkMsz0vXYH
Meir_Rubin,1727806557,1195,10,0,0,@Jenia00125341 זה לא נכון.
Meir_Rubin,1727804891,917,12,1,0,@avigrin10 https://t.co/DMpRWNuOYW
Meir_Rubin,1727841731,53445,525,28,11,"דורון, מה הפריע למחבלים לסחוב את הנשק בתיק טניס ולהוציא אותו ברגע הפיגוע? כלום ושום דבר. אבל אזרח עם אקדח חיסל מחבל עם נשק ארוך וכך הציל חיים רבים."
Meir_Rubin,1727842642,1734,13,0,0,"הנה התיעוד:
https://t.co/xDZ72Gbinb"
Meir_Rubin,1727841900,1014,10,1,0,@Etanetan23 https://t.co/y6fFhGNIlI
Meir_Rubin,1727841813,744,0,1,0,"@ShaniAshkenazi לגבי צרפת:
https://t.co/rdVPGgoDFh"
Meir_Rubin,1727841788,339,4,0,0,@OriKatz3 תתאמן עוד.
Meir_Rubin,1727841914,196,0,0,0,@netagrinfas134r https://t.co/y6fFhGNIlI
Meir_Rubin,1727841998,144,0,0,0,@DrNirDagan https://t.co/rdVPGgoDFh
Meir_Rubin,1727841980,248,0,0,0,@ShirAtidenu https://t.co/rdVPGgoDFh
Meir_Rubin,1727842022,107,0,0,0,@ernshchm https://t.co/rdVPGgoDFh
Meir_Rubin,1727841837,1642,46,0,0,@smolan_with_s https://t.co/y6fFhGNIlI
Meir_Rubin,1727803274,1864,165,3,2,הנס האמיתי של ישראל הוא שאנחנו לא מפיקים נפט... את העשן מאיראן יראו מהחלל.
Meir_Rubin,1727804299,58,2,0,0,"@amit_cohen4 הוא בים, זה לא נשרף יפה."
Meir_Rubin,1727871398,61,0,1,0,"@noaost אלוף צה""ל בכושר קרבי לשנת 2006 בבית הסיירות, לרשותך... שנה טובה גם לך."
Meir_Rubin,1727867537,648,7,0,0,המלצת קריאה.
Meir_Rubin,1727868248,642,4,1,0,"@AsafLevyHUJI לאמא עם תינוק ששירתה בתותחנים או הגנת הגבולות לא מגיעה הזדמנות להגן על עצמה? אם בא לך לטעון טענה על בסיס נתונים, תביא אותם."
Meir_Rubin,1728111525,4685,79,1,0,"@Roi_Yanovsky לגמרי! חצי מהקילומטרים ברכב שלי הם מילואים, למרות שרוב הזמן נשענתי על תחבורה ציבורית."
Meir_Rubin,1728406193,652,2,2,0,https://t.co/uL9821BPha
Meir_Rubin,1728579030,304,14,0,0,"@KaganJudith בן 9 כבר מכריז מידי פעם ""ניצחתי"" כמה מהלכים טובים לפני שאני מבין למה."
Meir_Rubin,1728632588,392,19,3,1,"@tallouria השאלה היא למה יש לימודים בימי שישי, לא למה אין לימודים בערבי חג."
Meir_Rubin,1728630222,0,0,0,2,RT @MisgavINS: בחלוף שנה מהמלחמה אירגוני הפרוקסי הם עתה סוכן השיווק השלילי של איראן • במזרח התיכון ולא רק בו מתחדדת ההכרה כי לכל מקום שאליו…
Meir_Rubin,1728621405,0,0,0,1741,"RT @ryanmauro: 🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨

My study of the anti-Israel protests- believed to be the biggest of its kind - is now published!

Among its…"
Meir_Rubin,1728575297,0,0,0,1,"RT @skleiman5791: בתקיפת מתחם פיקוד ושליטה בג'באליה: צה""ל ושב""כ חיסלו לפחות 12 מחבלים, חלקם לקחו חלק במתקפת הטרור הרצחנית ליישובי העוטף ב-7…"
Meir_Rubin,1728569106,0,0,0,1,"RT @maarachot_idf: שנה חלפה מפרוץ מלחמת ""חרבות ברזל"", שעדיין בעיצומה בחזיתות רבות, ועל אף הקושי ודווקא בעקבותיו – הוצאנו כמה גיליונות במהלכ…"
Meir_Rubin,1728566521,0,0,0,47,"RT @hod_barel: חיילי מילואים שחזרו כעת מלחימה בעזה גילו לתדהמתם שהרכבים שלהם, שחנו ליד בסיס צאלים, נפרצו ונבזזו. אוהד משתף: ""כואב מאוד לצאת…"
Meir_Rubin,1728558553,0,0,0,1,RT @erezgarty: יש לי יום הולדת היום ובא לי להכניס קצת חיוביות לטוויטר. מי שזורם שיכתוב בתגובות משהו יפה וחיובי למשהו שהוא ממש ממש לא מסכים…
Meir_Rubin,1728548956,0,0,0,129,"RT @avishaigrinzaig: טורי השבוע מוקדש לפרשן הצבאי הותיק והמכובד אלון בן דוד ולתחזיותיו הנחרצות שהתבררו שוב ושוב כמופרכות ושגויות. 

זה ממש…"
Meir_Rubin,1728539036,0,0,0,57,RT @MeytalinkaVan: בכל הימים האחרונים חברות ספרדיות עוצרות אותי בדאגה גדולה להורים שלי ולמשפחות שלנו. אתמול החברות ביקשו שאסביר איפה ההורים…
Meir_Rubin,1728537630,0,0,0,21,"RT @LeoraLev: בא לי לעצור, לבכות, להתאבל. להעניק את הכבוד וההכרה הבסיסיים שכל אחד מהנופלים ראוי לו. לא תמיד זה מתאפשר, היום כן. תודה רוני,…"
Meir_Rubin,1728501018,0,0,0,5555,"RT @PahlaviReza: המזרח התיכון, ערש הציוויליזציה, הוא תיבת אוצר בה נשמרים סיפורי מלכים רמי מעלה, נביאים ופילוסופים. מהמלך כורש ועד משה ואבן…"
Meir_Rubin,1728500959,0,0,0,51,"RT @bokeralmog: שימו לה לנתון הזה: מתוך 100 משאיות סיוע שהוכנסו אמש לרצועת עזה, חמאס וחמולות עזתיות השתלטו על 47. השתלטו וגנבו אותם. 
הם תו…"
Meir_Rubin,1728495315,0,0,0,51,RT @SuperCat_alw: אני קורא מחקר של המרכז הירושלמי לענייני חוץ ובטחון (יונתן דחוח-הלוי) על איך התבשלה בחמאס ההחלטה על המתקפה. אביא בהמשך דבר…
Meir_Rubin,1728481709,0,0,0,60,"RT @avishaigrinzaig: ערן עציון, רק לפני שבועיים:

״הנזקים שצה""ל גורם לחיזבאללה *לא* יגרמו לו ""להתחנן"" להפסקת אש, ולא יגרמו לו לנתק את מחויב…"
Meir_Rubin,1728481480,0,0,0,42,"RT @GLZRadio: סרן ישראל יודקין ז""ל, בן 22 מכפר חב""ד, היה לוחם בחטיבת כפיר ונפל ברצועה. ישראל, שלא פספס אף משחק עם החברים ביציע הכחול-צהוב,…"
Meir_Rubin,1728466593,0,0,0,31,"RT @GLZRadio: סמ""ר נועם בטאן ז""ל, בן 20 מיד רמב""ם, היה לוחם בסיירת גבעתי ונפל ברצועה. איש לא נשאר אדיש לקול הזמיר שלו, בייחוד כשהקריא את הה…"
