author_username,created_at,impression_count,like_count,reply_count,retweet_count,text,word_count
ptr_dvd,1730370294,2095,59,10,1,"בנימין וייס מבני ברק: ""בפשטות לא נכון לומר שהגיוס הוא לאיראן. זה באמצעות מפעיל וזה גרמא למטרות סיוע לגירי דיליה. פשיטא דיש להתיר"".",23
ptr_dvd,1730375000,3386,292,5,11,מטעם מי הייתה תעמולת הכזב שדובררה כאן בהקשר הזה בחודש האחרון?,11
ptr_dvd,1730614949,15281,827,28,36,הוידאו ממש מולנו וזה לא מה שהוא אומר. אנחנו כבר מעבר לסוריאליזם.,12
ptr_dvd,1730615386,490,31,2,0,אם לך לך טיעון חזק למה אתה צריך להישען על שקרים?,11
ptr_dvd,1730631434,1030,121,3,3,את לא שמה לב שאתה חושפת שאצלך הזהות המפלגתית של האדם עליו דנים קודמת לעמדות העקרוניות שלך. אם מדובר בחבר במפלגה שאת לא אוהבת זה קודם לכל והדעה שלך מתעצבת אד-הוק בהתאם. עצוב.,33
ptr_dvd,1730628628,2317,131,15,11,"לדעתי היינו במקום אחר אם היו לומדים בתיכונים על ההיסטוריה, התאולוגיה, הסימבוליקה, ההיגיון הפנימי, הביורוקרטיה והפסיכולוגיה של עלילות הדם. זו תופעה עתיקה, מורכבת ועמוקה בהרבה ממה שנהוג להניח. ישראלים היו תופסים אחרת, אולי, את הלחץ הבינ""ל, כמו גם את העלילות הפנימיות.",41
ptr_dvd,1730640716,167,11,1,0,"בכל עולם. הרוב הפרלמנטרי יכול לתת פרוויליגיה למיעוט בכל שיטה חוקתית. אין שום תקדים עולמי למצב בו בית המשפט פוסל פרווילגיה שהרוב מעניק למיעוט. רק בישראל כל מה ש""לא נראה לי"" הוא לא חוקתי, כי אין טקסט חוקתי וכל דעה היא חוקה אם רק מינו אותך לתפקיד המתאים. ראי בעניין זה חוות דעתו של גרוניס בבג""ץ חוק הגיוס.",58
ptr_dvd,1730701210,685,37,2,0,"לא הבנתי, אז צריך לפנות לחשב או לא צריך לפנות לחשב?",11
ptr_dvd,1730731782,1524,35,7,4,"אסור לשכוח שצריך להחזיק את הצבא בבית הקסרקטין. משיח ה', תאודור הרצל.",12
ptr_dvd,1730741237,1500,52,2,3,"על רעיונות דומים אמר לאחרונה פרופ' ג'רמי וולדרון, מחשובי התאורטיקנים המשפטיים בעולם (כהגדרתו של רוזנאי אגב): ""בישראל אומרים שאי אפשר לתת לכנסת לקבל את כל ההחלטות רק משום שהיא גוף נבחר - חייבים להיות איזונים ובלמים, ולכן נחוץ בית המשפט חזק ועצמאי. אבל לא כל מוסד חזק יכול להיחשב איזון או בלם ראוי. היה פעם, בארץ הזאת [אנגליה], שהפרלמנט היה יכול לחוקק אבל היה זקוק לאישור בית הלורדים ואישור המלך או המלכה. הנה לכם איזונים ובלמים – וטו עם כתרים, מצנפות ונזרים. להבנתי ויתרתם על השיטה הזאת, מהסיבה המוצדקת שמחוץ למנגנון בית הנבחרים, כל שאר הבלמים היו אוטוקרטים או אריסטוקרטים. לאף אחד מהם לא הייתה לגיטימציה שתבסס את הוטו. הוטו המלוכני נעלם בתחילת המאה ה-18... והפרלמנט החליט ב-1911 וב-1949 לבטל את וטו הלורדים – משום שנציגי העם לא צריכים להיכנע לסמכות האצולה. אף אחד לא היה מקבל את הכנסייה האנגליקנית כבלם על חקיקה רגילה שלא נוגעת לכנסיה; אף אחד לא היה מקבל וטו של האקדמיה, מכובדת ככל שתהיה, או של הסתדרות העובדים או של קבוצת כדורגל. בכל המקרים האלו, דיקלום ""איזונים ובלמים"" אינו מספיק, וזה לא מספיק גם עבור כוחם של השופטים. הגופים הבולמים זקוקים ללגיטימציה בבסיסם, וזה מה שחסר בסמכות הלא-לגיטימית של בתי המשפט. זה קצת מוגזם לדבר על איזונים ובלמים, כאשר מדברים על בית משפט בלתי מאוזן עם זכות המילה האחרונה"". --- פרופ' נבות, אין בדברים שלך ולו ראשית התמודדות עם האנומליה הישראלית.",225
ptr_dvd,1730744539,20210,859,116,61,זו הומורסקה? זה פיליטון? זה ויץ? זה קונץ? זה שטיק? מה זה?,12
ptr_dvd,1730757239,391,4,1,0,"להפך. במקום בתי דין קהילתיים אורתודוקסיים זה לפחות יעבור, במידת מה, למוסדות עם סטנדרטיזציה מינימלית.",15
ptr_dvd,1730757183,184,6,1,0,הוא יכול לעשות זאת גם היום מול בית דין רבני לענייני ממונות. אין שום קשר בין הטענות שלך לנושא.,19
ptr_dvd,1730756921,435,9,3,0,"אין שום קשר בין החוק המוצע למה שאתה מספר. בוררות ממונית בהסכמה. למי זה מפריע אם שני הצדדים מסכימים? זה גם היה המצב עד שבג""ץ אסר על כך בשנת 2006 כמדומני.",31
ptr_dvd,1730756471,13683,356,74,11,"אם שני בעלי הדין מעוניינים בבוררות הזו, למי זה מפריע בדיוק?",11
ptr_dvd,1730713900,2374,73,1,0,הבחור מנופי נחמיה שהרג ערבי בהגנה עצמית לאחר שהותקף בגרזן עת הוא מלווה קבוצת בני נוער.,16
ptr_dvd,1730784326,533,9,1,0,בהחלט. רק שזה קורה כבר ויש תניות בוררות לבתי דין לענייני ממונות ברמת הקהילה. ההצעה לפחות תוביל את האנשים שחפצים בכך לנהל את ענייניהם במסגרת סטנדרטיזציה וסדרי דין סבירים. זה דווקא מחזק את הצד החלש בחוזה.,36
ptr_dvd,1730791370,107,2,1,0,אני לא מעוניין במדינת הלכה. הלאה לספין הבא.,8
ptr_dvd,1730791252,10950,228,14,5,"אגב יום הזיכרון ליצחק רבין אני נזכר שבכל שנה, בטרם מתחילה שנת הלימודים הראשונה בפקולטה למשפטים בבר-אילן, ישנם כמה ימי ""אוריינטציה"". מלמדים את הסטודנטים החדשים את הא""ב - איך מחפשים פסק דין, מהם המקורות המשפטיים וכדומה. הגעתי נרגש, ממש חודשים ספורים לאחר שחרורי מצה""ל, לאוני' בר-אילן והתיישבתי על כסא באולם המיועד. היו אלה ממש רגעי הראשונים באקדמיה הישראלית. ומי נכנס לאולם אם לא פרופ' ידידיה שטרן שנשא דברי פתיחה נוכח הדם החדש שיזרום במסדרונות הפקולטה בשנים הקרובות. ובאילו דברים פתח? כמובן - שבזו הפקולטה למד יגאל אמיר ושהשליחות שלו, ושל הפקולטה כולה, היא שלא יצמח מאיתנו יגאל עמיר נוסף. האירוע הזה סימן לי היטב היטב לאן הגעתי. מזל שלפחות עם תחילת שנת הלימודים הפורמלית השיעור הראשון היה משפט חוקתי עם פרופ' גידי ספיר, רטוריקן נהדר ואיש עם חשיבה עצמאית - מחמאה שאינני מחלק בקלות.",134
ptr_dvd,1730786605,248,5,1,0,אז מכריחים אותך ללכת לבית דין ברמת הקהילה ללא סטנדרטיזציה מינימלית,11
ptr_dvd,1730812333,2089,27,4,0,"הטבעת של קליגולה. תכלת דומה לים, וים דומה לרקיע, ורקיע דומה לאבן ספיר, ואבן ספיר דומה לכסא הכבוד.",18
ptr_dvd,1730815435,154,4,0,0,וכי זה לא בדיוק מה שיקרה בעתיד ביחס לתקופתנו?,9
ptr_dvd,1730836049,1367,263,5,4,היסטריה אינה מצע טוב לצמיחתה של חשיבה איכותית. אין הרבה הבדל בין הציוץ הזה לפשקעווילים זועקי געוואלד.,17
ptr_dvd,1730872001,2628,267,7,17,"ניצחון רצונם החופשי של אזרחים בדמוקרטיה אל מול כתישה בלתי פוסקת מצד כל גורמי הכוח ומעצבי התרבות - זה אירוע מרגש. כעת יעמדו לרשות לטראמפ כ-10,000 מינויים ברחבי הרשות המבצעת. Vox populi, vox Dei.",34
