author_username,created_at,impression_count,like_count,reply_count,retweet_count,text,word_count
AmiadCohen,1725168436,19576,788,107,71,היכולת של חלקים נרחבים בפיד להתעלם מעשרות אלפי חיילים שנלחמים נפצעים ונהרגים יום יום כבר 11 חודשים רק כדי לנסות לחלץ את החטופים בלתי נתפסת.,25
AmiadCohen,1725141212,702,6,0,0,"ב15 שנים האחרונות צה""ל תוקף בסוריה בקצב גבוה מאד בדיוק בגלל הסיבה הזאת, כדי למנוע הברחות של תחמושת ואמצעי לחימה להקמה של חיזבאללה בסוריה. מדינת ישראל החליטה גם לא לעשות את זה בלבנון ולאפשר את בניים הכח של חיזבאללה בלבנון. ניתן לראות את ההבדל בין השניים. אין חיזבאללה בסוריה, ויש חיזבאללה מלאה בנשק בלבנון. וזאת כמובן היה טעות. היה צריך לעשות את זה גם בלבנון.",65
AmiadCohen,1725196101,714,53,2,3,אני הקטן רק רוצה לשאול את ראשי האוניברסיטה החשובה והטובה בישראל. 1. לאיזו עסקה חמאס הסכים שנמצאת על השולחן ושלא חותמים עליה? 2. האם יש דרישה של חמאס שבגינה לא תסכימו לחתום על עיסקה? בהערכה רבה,36
AmiadCohen,1725198003,24,1,1,0,"לכל הידוע לי אין דבר כזה. אפילו בלינקן, שאיננו תומך נתניהו כידוע, אמר שנתניהו הסכים לה וחמאס לא. אגב, יש לך את פרטי העסקה שאתה טוען שקיימת? למה חמאס הסכימו ומה נתניהו דורש שמפיל את העסקה?",36
AmiadCohen,1725198356,22,0,1,0,אבל חמאס לא הסכים למתווה גם אז,7
AmiadCohen,1725209325,1404,70,5,6,לו אני חבר כנסת הייתי מציג עכשיו תיקון לחוק ״ההסכמים הקיבוציים״ ומאפשר לכל עובד להחליט אם הוא רוצה להיות מאוגד או לא.,22
AmiadCohen,1725215055,2031,148,2,2,"זהו, אני נכנע, אני מוכן לשחרר את כל החטופים שאני מחזיק. רק בבקשה תטפלו בחולים. הם לא באמת קשורים במשחק המטופש הזה שלכם.",23
AmiadCohen,1725216389,3517,282,3,32,"כשההסתדרות הרפואית תורה לרופאים שלא לטפל בתושבי עזה, יו""ש ואסירי שדה תימן עד להשבת אחרון החטופים נדע שאכפת להם מהחטופים. עד אז הם סתם פוליטקאים בחלוק לבן.",27
AmiadCohen,1725223598,952,34,3,3,"""אוהד, תסלח לי... מהן בדיוק הדרישות שלכם כאוהדים?"" ""אז ככה רוצים לקבוע מי יהיו השופטים! אם לא אנחנו החלטנו לשרוף את המועדון!"" ""תגיד לי בבקשה אתה יכול למנות את הדרישות שלכם?"" ""למה למנות שאני יכול לספור לך אותם?"" ""בבקשה מנה."" ""מה?"" ""ספור."" ""אז ככה, אנחנו רוצים 15 ניצחונות בשנה מינימום... 15, כן? אם לא - נשרוף את המועדון. אנחנו גם רוצים לקבוע, פעם אחת ולתמיד, מי יהיה השחקנים, מי יהיה המאמנים, מי יהיה התוצאה, ומי יהיה מזג האוויר."" ""ואם זה לא יינתן לכם?"" ""אנחנו נשרוף את המועדון.""",87
AmiadCohen,1725196824,1012,75,0,8,"ערן שלום, זה אני, מהקרמים, והקסדות, הרחפנים והמאווררים. נראה לי שאני כן קשור לדיון. לפחות קצת. אגב, כשועדה שמינה אהוד ברק קבעה איך נושאים ונותנים עם מחבלים על שבויים, הם במפורש הגדירו שיש לנתק בין משפחות החטופים לבין מקבלי ההחלטות. שלהבנתי זה ההפך מה שאתה אומר. בכל מקרה, גם לי יש חוזה עם המדינה, או ליתר דיוק ברית. ואני כרגע נמצא בצד שנותן בלי לשאול שאלות. איבדנו חברים, שכנים וקרובים בניסיון להשמיד את האויב ולהחזיר את החטופים. ולמרות זאת , אני לא דורש זכות וטו על כלום. אין לי עדיפות בקולות בקלפי, ולדעה שלי אין משקל עודף בשום מקום. מאחל לעצמי ולך תמיד להיות בצד הנותן, וגם אם נהיה צריכים לקבל, אני מקווה שיהיה לנו את הכח לתת גם אז.",120
