author_username,created_at,impression_count,like_count,reply_count,retweet_count,text,word_count
AmiadCohen,1692216571,650,18,4,0,"הם חושבים שזה שיכנע את שלושת החרדים שישבו באוטובוס להתגייס? ואם לא, אז מה הייתה המטרה?",16
AmiadCohen,1690127636,271,8,2,0,"לא הבנתי, אז יש חוקה או אין חוקה?",8
AmiadCohen,1696707410,0,0,0,41,RT : Get ready. Israel must take considerable territory in Gaza in order to win this. Victory cannot be had by airstrikes alo…,23
AmiadCohen,1696695026,0,0,0,18,"RT : Like in '73, this surprise attack on Israel seeks to deal a blow to Israel and simultaneously provoke great power action.…",23
AmiadCohen,1696528876,488,14,0,0,"אם תהיתם לעצמכם איך נשמעו הקולות הראשונים של מהפכת התרבות של מאו דזה דונג ב1966, אז ככה...",17
AmiadCohen,1696512422,368,5,0,0,"ב1215 חתם גון מלך אנגליה על כתב הזכויות המפורסם ביותר, וייתכן גם הראשון בהיסטוריה. מעבר להגבלת שלטון המלוכה, הוכרזו שם זכויות של נאשמים במשפט פלילי, והוגדרו מנגנונים שתפקידם למנוע תפירת אשמה שרירותית בידי בעלי הכח. No freeman shall be taken or [and] imprisoned or disseised or exiled or in any way destroyed, nor will we go upon him nor send upon him, except by the lawful judgment of his peers or [and] by the law of the land קשה להבין איך אנשים שטוענים שהם בעד זכויות אדם, וקוראים לעצמם ליברלים, תומכים בצורה כך כך בוטה בגזר הדין המוכתב מראש ללא קשר להליך השיפוטי ,ועוד חוגגים על זה. מה גם, שנראה שלילדים בתמונה חסרים קלשונות כדי להצטרף לתמונה של ציד מכשפות מימי הביניים. אנחנו חיים בתקופה נפלאה של בירור ערכים אמיתי. זה לא ליברליזם.",133
AmiadCohen,1696407239,6502,126,3,7,"הדס שטייף היא לא יותר מלוביסטית של החברים שלה במטרה לקבל מהם הדלפות בהמשך. בעיניה המועמדים למפכ״ל (הם ורק הם!): דורון תורג׳מן - עשה תפקיד ניצב אחד בלבד. אמיר כהן - מפקד מג״ב שמעולם לא היה שוטר כחול. חודש הוא מפקד מחוז וכבר שטייף רוצה אותו כמפכ״ל. כאילו קובי שבתאי אחד לא הספיק לנו. אבי ביטון - היה 5 חודשים ראש אגף ומאז הוא מפקד מחוז בינוני. רק לשם השוואה, ניצב (בדימוס) יורם הלוי הגיע לשלב המועמדות למפכ״ל אחרי 5 תפקידי ניצב. ומי שיגיד, מה זה כבר משנה מי המפכ״ל, שייזכר באסון מירון, בשומר החומות, באנרכיה אליה הגיעה החברה הערבית ושיקרא את המאמר שפרסמנו בנושא בשילוח.",106
AmiadCohen,1696318962,493,16,0,0,אירוע בקנה מדיה היסטורי מתרחש לנגד עינינו.,7
AmiadCohen,1696242092,488,12,0,1,"מצד אחד ממשלת ""ימין"" סוציאליסטית, מצד שני ממשלת שמאל פרוגרסיבי סוציאליסטי. 😭",12
AmiadCohen,1696238701,300,7,0,0,הוא שלם עם זה שלנבחרי ציבור לא יהיה כח.,9
AmiadCohen,1695822085,0,0,0,3,"RT : הוא לא צנוע חלילה, אבל בניגוד לפוליטיקאים בעבר ובהווה, תפקידו כעובד מדינה לא מאפשר לו לקפוץ קדימה ולקחת קרדיט. אלא שהקרדיט…",23
AmiadCohen,1695755659,584,13,1,3,"מעניין מה הוא חושב על אדם ששתק בחקירה בחשד להלבנת הון לשימוש כתרומות לקמפינים פוליטים בניגוד לחוק, ואז הפך למועמד לראשות ממשלה, וכיום משמש כנשיא המדינה.",26
AmiadCohen,1695679387,0,0,0,117,"RT : יום הכיפורים נמצא בקונצנזוס הישראלי: יום בו כל המגזרים שובתים מעבודה, מקניות ומנסיעות. תפילות החג הקהילתיות במרחב הפתוח -…",21
AmiadCohen,1695555495,326,4,0,0,יש קונספציה שכושלת ומובילה למלחמה. ויש קונספצית שכושלות ומביאות לשלום,10
AmiadCohen,1695550134,0,0,0,2,RT : נפתחה ההרשמה לתכניות ״חכמתכם ובינתכם״ לשנה״ל תשפ״ד לגברים ונשים בוגרי החינוך החרדי. הצטרפו אלינו לתוכנית עיונית בהגות ומד…,20
