username,batch_id,narratives,attacked_entities,protected_entities,toxicity_level,toxic_examples,emotional_tones,stated_goals,psychological_profile,confidence_ratings,confidence_explanation
ptr_dvd,0,"['Criticizing perceived media bias', 'Defending judicial reform proposals', 'Questioning democratic legitimacy of institutions']","['Kohelet Forum', 'Israeli media', 'Supreme Court']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",70,"['את לא שמה לב שאתה חושפת שאצלך הזהות המפלגתית של האדם עליו דנים קודמת לעמדות העקרוניות שלך. אם מדובר בחבר במפלגה שאת לא אוהבת זה קודם לכל והדעה שלך מתעצבת אד-הוק בהתאם. עצוב.', ""אסור לשכוח שצריך להחזיק את הצבא בבית הקסרקטין. משיח ה', תאודור הרצל.""]","['cynical', 'frustrated']","['Reduce judicial oversight and empower parliament', ""Promote Israel's identity as a Jewish nation-state""]",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,1,"['Opposing judicial oversight and supporting parliamentary power', ""Promoting Israel's Jewish nation-state identity"", 'Advocating for free-market economics and privatization']","['Kohelet Forum', 'Benny Gantz', 'Gabi Ashkenazi']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",75,"['שימו בתאגיד השידור הציבורי ובתחנת הרדיו של צה', ',\n        ']","['cynical', 'frustrated']","['Reducing judicial oversight and increasing parliamentary power', ""Promoting Israel's Jewish national identity""]","Highly critical of the Kohelet Forum's agenda, perceiving it as a threat to democratic institutions and values in Israel.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,2,"['Criticizing lack of commitment to basic fairness', ""Defending the prime minister's right to information"", 'Accusing the left of hysteria and anti-democratic sentiment']","['Kohelet Forum', 'Yair Lapid', 'Meretz Party', 'Benny Gantz', 'Gali Baharav-Miara']","['Benjamin Netanyahu', 'Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",70,"['רמת חוסר המחויבות של הארגון הזה להגינות בסיסית היא פשוט בלתי נתפסת.', 'זה לא וואטאבאוטיזם. זה לב העניין.']","['cynical', 'frustrated']","[""Defending the prime minister's authority"", ""Criticizing the left's anti-democratic sentiment"", 'Promoting the right-wing judicial reform agenda']","Highly partisan, defending the right-wing agenda and attacking perceived opponents in a cynical and frustrated manner.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,3,"[""Criticizing legal establishment's actions"", ""Defending government's judicial reform"", 'Accusing media of anti-Israel bias']","['Avichai Mandelblit', 'Uzi Fogelman', 'Haaretz journalist Raviv Drucker']","['Simcha Rothman', 'Yariv Levin', 'Amir Ohana']",70,"['להיעלב כשפוגעים בך זה לא לקבל שכל', 'צריך לשלול חירות לאזרחים ללא משפט כדי שאת תקבלי יחס יותר טוב בבריסל? את שומעת את מה שאת אומרת?']","['angry', 'cynical']","[""Defend government's judicial reform"", 'Expose media bias against Israel']",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,4,"['Defending judicial reform and reduced oversight', 'Criticizing left-wing politicians and media bias', 'Accusing opponents of undermining democracy']","['Amir Ohana', 'Amir Ohana', 'Amir Ohana', 'Amir Ohana', 'Amir Ohana']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",75,"['אינני נוהג להתייחס לאנשים שהתוכן שלהם רווי בשינאה וגסות רוח', 'מיסגור מדהים. אין להם מודעות עצמית ואין להם בושה.']","['angry', 'cynical']","['Defend judicial reform and reduced oversight', 'Criticize left-wing politicians and media bias']","Strongly ideological, perceiving opponents as undermining democracy and the Zionist project.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,5,"['Criticizing the judicial system', 'Opposing left-wing political influence', 'Defending right-wing political figures']","['Kohelet Forum', 'Yair Lapid', 'Dina Zilber']","['Simcha Rothman', 'Yariv Levin', 'Amir Ohana']",75,"['במחילה, קשקוש מוחלט. המשחקים הללו בשפה הם חלק ממערכה שלמה של ניסיון לשחק עם המציאות באמצעות שינויי שפה.', 'אתה לא מסוגל אפילו לצפות בוידאו עד הסוף?']","['cynical', 'frustrated']","['Reduce judicial oversight', 'Increase parliamentary power', 'Promote right-wing political agenda']","Highly partisan, distrustful of left-wing institutions and figures, and strongly supportive of right-wing political agenda.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,6,"['Criticizing media bias and political agendas', 'Defending judicial reform and reduced government control', 'Accusing opponents of anti-Israel and unpatriotic behavior']","['Kohelet Forum', 'Mittal Regev', 'Leftist academics and activists']","['Benjamin Netanyahu', 'Simcha Rothman', 'Yariv Levin']",75,"['תקשורת בישראל: מתחייבים מראש למסקנה הפוליטית מכל דיווח עתידי.', 'אתם אנשים מופקרים.']","['cynical', 'angry']","['Promote judicial reform and reduced government control', 'Defend Israel and its leadership against criticism']","Highly partisan, distrustful of media and political opponents, strongly supportive of right-wing agenda","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,7,"['Promoting judicial reform and reduced oversight', 'Criticizing government institutions and officials', 'Defending right-wing political agenda']","['Kohelet Forum', 'Benjamin Netanyahu', 'Attorney General of Israel', 'Israeli judiciary', 'Labor unions']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",75,"['דנים בכליאת שר המשפטים. הכל תקין סה', ',\n        ']","['cynical', 'frustrated']","['Promote judicial reform and reduced oversight', ""Defend Israel's identity as a Jewish nation-state""]",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,8,"['Criticizing media bias and lack of objectivity', 'Defending judicial independence and rule of law', 'Opposing government overreach and political interference']","['Dov Alfon', ""IDF Spokesperson's Unit"", 'Secular left-wing media']","['Amit Segal', 'Supreme Court', 'Judicial system']",70,"[""גזלייטינג ברמות קומוניסטיות. פשוט מניחים שכולם מטומטמים או מפוחדים מכדי להגיד את האמת. אורוול פינת סולז'ניצין."", 'אתה טמבל על אוטומט הא? לא צפיתי בכלל בסרטון. למי איכפת. אמרתי שזה כנראה נכון שמי שאתה מכנה \\', ' הם מפיצי אתאיזם הרבה יותר אפקטיביים ממך.']","['cynical', 'angry']","['Promote judicial independence and limit political influence', 'Expose media bias and lack of objectivity']",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,9,"['Criticizing media bias and hypocrisy', 'Advocating for judicial reform and reduced government power', 'Expressing frustration with political divisions in Israel']","['Kohelet Forum', 'Left-wing media', 'Supreme Court']","['Benjamin Netanyahu', 'Simcha Rothman', 'Religious Zionism Party']",70,"['שלב ההיפוך קרוב. ממש בקרוב עיתונאים יתהדרו שמלכתחילה הם היו סקפטיים בנוגע לתיקי נתניהו. זו הרוטינה הקבועה.', 'כל גורמי המקצועי הרלוונטיים של המדינה קבעו שהאסירים מקבלים את מה שנקבע כמינימום הנדרש. הצו של ביהמ']","['cynical', 'frustrated']","['Promote judicial reform and reduced government power', 'Defend right-wing political figures and policies']",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,10,"[""Defending Kohelet Forum's judicial reform"", ""Criticizing the judicial system's bias"", 'Discussing the political landscape in Israel']","['Dror Hoter-Ishai', 'Doron Barzilay', 'Supreme Court']","['Avi Maoz', 'Avi Dichter', 'Benjamin Netanyahu']",60,"['שוב ושוב ושוב חוזר לתמונה הזו. שוב ושוב. מודה ומתוודה שבסמוך לטבח לא שיערתי שתוך שנה ננחית על אויבינו, בכל החזיתות, מכות כך כך מרשימות.', 'אני רוצה עריפות ראשים, קלון לדורות ושינויים מבניים מרחיקי לכת. אני רוצה משהו כל כך מרחיק לכת שבראי ההיסטוריה יתפזו אותו כמעבר לרפובליקה ישראלית חדשה.']","['cynical', 'frustrated']","['Reduce judicial oversight and increase parliamentary power', ""Promote Israel's identity as a Jewish nation-state""]",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,11,"['Defending democratic values', 'Criticizing anti-democratic attitudes', 'Highlighting intellectual and cultural heritage']","['Kohelet Forum', 'New camp supporters']","[""Citizens' political rights""]",60,"['אחוז האמת מתוך התגובה שלך מייצג לא רע את האקדמיה המשפטית כיום, למרבה הצער.', 'אם לא עושים כדברה אז אין משחק.']","['frustrated', 'cynical']","['Restore democratic discourse', 'Defend political rights of all citizens']",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
SagiBarmak,0,"['Defending right-wing policies and criticizing left-wing', ""Promoting Israel's Jewish identity and reducing government control"", 'Analyzing US politics and supporting pro-Israel candidates']","['Kamala Harris', 'BBC employees', 'Judicial system and Attorney General']","['Donald Trump', 'Mike Pompeo', 'Tom Cotton', 'Religious Zionism Party']",70,"['זו ברירה כוזבת. לחרדים יש מחסנית ריקה ואתה רועד.', 'אני אקח את \\', ' עם כל אלה מבלי לחשוב פעמיים.']","['cynical', 'angry']","[""Promote Israel's Jewish identity and reduce government control"", 'Support pro-Israel candidates in US elections']",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
SagiBarmak,1,"['Criticizing progressive academia and media', 'Opposing judicial reform and supporting protests', 'Lamenting the rise of progressive ideology']","['Kamala Harris', 'Zeev Sternhell', 'Progressives', 'Democratic Party', 'Mainstream media']","['Donald Trump', 'Sagi Barmak']",70,"['משעשע. בניגוד לטראמפ, קמלה האריס לא נבחרה במכניזם דמוקרטי. היא לא השתתפה ולא ניצחה אף פריימריז אלא קיבלה את קלף המועמדת הדמוקרטית על ידי קליקה של עסקנים פוליטיים בתהליך נסתר שאת פרטיו איננו מכירים עד היום.', 'צפיתי כבר בעשרות סרטונים מהסוג הזה. איך מצליחים לגדל דור כל כך שברירי, היסטרי, מפוחד, נרקסיסטי, מבולבל, רדוד ובו-בזמן נפוח מחשיבות עצמית וצדקנות מאוסה? תוצריה מכמירי הלב של התרבות הפרוגרסיבית.']","['cynical', 'angry']","['Opposing progressive ideology and policies', 'Supporting right-wing and nationalist causes']",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
SagiBarmak,2,"['Criticizing political activism by celebrities', 'Opposing gender-inclusive language in academia', ""Praising Trump's appointments and policies""]","['Taylor Swift', 'Beyoncé', 'George Clooney', 'Lior Ashkenazi', 'Nelly Tagar']","['Donald Trump', 'Marco Rubio', 'Mike Pompeo', 'Nikki Haley', 'Kohelet Forum']",70,"['למה את.ה.הן.הם נגד האבולוציה של הטבעית של השפה?!?!', 'זעקות שבר בקרב הימין הבדלני לאור המינויים האחרונים של טראמפ. משמח.']","['cynical', 'optimistic']","['Reduce judicial oversight and strengthen parliament', ""Promote Israel's identity as a Jewish nation-state"", 'Advance pro-Israel policies with the new US administration']",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
SagiBarmak,3,"['Criticizing left-wing intellectuals and institutions', ""Defending the government's judicial reform"", 'Attacking international organizations and liberal order']","['Arik Carmon', 'Israeli Democracy Institute', 'International Criminal Court', 'Biden administration', 'Left-wing intellectuals']","['Moshe Sade', 'Simcha Rothman', 'Yariv Levin', 'Kohelet Forum', 'Trump-appointed US ambassador to Israel']",80,"['אחד המונולוגים הכי מטופשים, מרושעים ומתנשאים שיצא לי לשמוע.', 'אשכרה נורמלה בישראל התפיסה לפיה עורכת דין (בינונית לכל הדעות) שעוסקת בפרשנות של החוק (עליה ניתן וצריך לחלוק) היא מהות הדמוקרטיה עד כדי כך שפיטוריה הם לא פחות מהכרזת מלחמה עליה. ציבור של משוגעים. אין לי מילה אחרת.']","['cynical', 'angry']","[""Defend the government's judicial reform"", 'Criticize left-wing intellectuals and institutions', 'Attack international organizations and liberal order']",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
SagiBarmak,4,"['Criticizing judicial oversight and bureaucracy', ""Defending the government's judicial reform"", 'Attacking opponents of the judicial reform']","['Avichai Mandelblit', 'Kohelet Forum', 'Opposition parties']","['Simcha Rothman', 'Yariv Levin', 'Judicial reform']",75,"['אני לא מדבר על התנהלות עבריינית גלויה. אני מדבר על התנהלות שערורייתית שעיקרה קריאה סלקטיבית וחסרה של החוק, חוות דעת מוטות, קיצוניות, ובאופן כללי התנהלות לעומתית.', 'דעתם של מומחים בחייך הפרטיים מחייבת אותך? ליועץ ההשקעות שלך יש זכות וטו על תיק ההשקעות שלך? אתה תמיד מקבל את עמדותיו של עורך הדין הפרטי שלך? תחזיק חזק- אפילו רואה החשבון עלול לטעות.']","['angry', 'cynical']","['Reduce judicial oversight of the government', 'Empower the legislative branch over the judiciary']",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
SagiBarmak,5,"['Defending Israel against perceived anti-Semitism', 'Criticizing left-wing and liberal opposition to judicial reform', 'Promoting free-market economics and reduced government regulation']","['ICC (International Criminal Court)', 'Constitutional lawyers opposing judicial reform', 'Democratic Party in the US']","['Benjamin Netanyahu', 'Simcha Rothman', 'Kohelet Forum']",70,"['כשאתה רואה עלילת דם אנטישמית, אתה יוצא נגד עלילת דם אנטישמית. בלי גמגומים וללא סייגים. פשוט יוצא נגדה. לא נגד הקואליציה, אלא נגד האנטישמים.', 'נתניהו נושא באחריות מלאה לשבעה באוקטובר. זו פשוט האמת, והאמת משנה. במשמרת שלו עזה הפכה לבסיס הטרור הגדול ביותר שידעה האנושות בהובלת ארגון נאצי.']","['angry', 'cynical']","['Defend Israel against perceived anti-Semitism', 'Promote free-market economics and reduced government regulation']",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
SagiBarmak,6,"['Criticizing liberal elites and judicial overreach', ""Defending the government's judicial reform agenda"", 'Attacking left-wing media bias and hypocrisy']","['Meni Mazuz', 'Haaretz newspaper', 'Israeli public media']","['Benjamin Netanyahu', 'Kohelet Forum', 'Judicial reform']",70,"['אה, ועל האפשרות שהממשלה תפטר את היועמשית הוא מציע מרד אזרחי. אין תחתית.', 'הגענו לשלב שבו לא לפרסם בהארץ זה \\', '.']","['cynical', 'angry']","['Reduce judicial oversight and empower parliament', ""Promote Israel's Jewish national identity""]","Strongly ideological, perceiving liberal elites and media as adversaries to the government's agenda.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
