username,batch_id,policy_themes,security_themes,confidence_ratings,confidence_explanation,security_vs_judicial,security_vs_economic,government_oversight,individual_vs_collective,international_law_refs,defense_budget_priority,executive_powers,judicial_vs_security,emergency_restrictions,domestic_vs_international,narratives,attacked_entities,protected_entities,toxicity_level,toxic_examples,emotional_tones,stated_goals,psychological_profile
ptr_dvd,0,"['judicial reform', 'economic policy', 'civil rights']","['border security', 'counter-terrorism']","{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,,,,,,,,,,,,,,,,,,
ptr_dvd,1,"['judicial reform', 'economic policy', 'civil rights']","['border security', 'counter-terrorism']","{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,,,,,,,,,,,,,,,,,,
ptr_dvd,2,"['judicial reform', 'economic policy', 'civil rights']","['border security', 'counter-terrorism']","{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,,,,,,,,,,,,,,,,,,
ptr_dvd,3,"['judicial reform', 'economic policy', 'civil rights']","['border security', 'counter-terrorism']","{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,,,,,,,,,,,,,,,,,,
ptr_dvd,4,"['judicial reform', 'economic policy']","['military operations', 'counter-terrorism']","{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,"{'analysis': 'The tweets focus more on judicial reform than security-related issues, with a score of 30 out of 100 for security-related content.', 'score': '30'}","{'analysis': 'Approximately 40% of the policy-related posts focused on national security, while 60% focused on economic and judicial issues.', 'score': '40'}","{'analysis': 'The tone towards government oversight becomes increasingly critical, with a score of 8 out of 10 for hostility towards oversight.', 'score': '8'}","{'analysis': 'The tweets emphasize collective security over individual rights, with a score of +6 out of 10 for this shift.', 'score': '6'}","{'analysis': 'There are few references to international law, with a score of -20 out of 100 for engagement with this topic.', 'score': '-20'}","{'analysis': 'The tweets do not make any specific recommendations regarding defense spending, maintaining a neutral stance with a score of 5 out of 10.', 'score': '5'}","{'analysis': 'The tweets express support for increased executive powers, with a score of +3 out of 5 for this shift.', 'score': '3'}","{'analysis': 'The tweets place a significantly higher emphasis on judicial reform compared to security reform, with a score of 80 out of 100.', 'score': '80'}","{'analysis': 'The tweets do not directly address changes in attitude towards civil liberties during emergencies, maintaining a neutral stance with a score of 5 out of 10.', 'score': '5'}","{'analysis': 'The tweets focus primarily on domestic policy issues, with a score of +70 out of 100 for this emphasis.', 'score': '70'}",,,,,,,,
ptr_dvd,5,"['judicial reform', 'economic policy', 'civil rights']","['border security', 'counter-terrorism']","{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,"{'analysis': 'Balanced discussion of both security and judicial reform themes', 'score': '50'}","{'analysis': 'Slightly more emphasis on judicial reform than security issues', 'score': '60'}","{'analysis': 'Highly critical of government oversight, especially of the judiciary', 'score': '8'}","{'analysis': 'Strong emphasis on collective national identity over individual rights', 'score': '7'}","{'analysis': 'Limited references to international law, more focus on domestic legal issues', 'score': '20'}","{'analysis': 'No significant discussion of defense spending priorities', 'score': '3'}","{'analysis': 'Supportive of expanding executive powers, critical of judicial oversight', 'score': '4'}","{'analysis': 'Significantly more emphasis on judicial reform than security issues', 'score': '80'}","{'analysis': 'Willing to accept some restrictions on civil liberties during emergencies', 'score': '6'}","{'analysis': 'Primarily focused on domestic policy issues, limited discussion of international relations', 'score': '80'}","['Defending judicial reform and criticizing opposition', 'Accusing left-wing academia and media of distortion', ""Promoting Israel's Jewish national identity""]","['Left-wing activists', 'Academia', 'Media']","['Kohelet Forum', 'Judicial reform proponents']",75,"[""חוק הלאום הוא דוגמה מצוינת לנושא נוסף שבו השמאל, יחד עם האקדמיה והתקשורת הובילו קמפיין 'קץ הדמוקרטיה' שקרי ונבזי"", 'ההתנתקות המוחלטת מהעובדות המציאותיות והגלישה לתרבות של תודעה קטסטרופלית תמידית היא מאפיין מדאיג מאוד']","['cynical', 'angry']","[""Defend judicial reform and Israel's Jewish identity"", 'Criticize left-wing opposition and media distortion']","Highly partisan, distrustful of left-wing institutions, and strongly committed to promoting a nationalist, pro-judicial reform agenda"
ptr_dvd,6,"['judicial reform', 'economic policy', 'civil rights']","['military operations', 'counter-terrorism']","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,,,,,,,,,,,"['Promoting judicial reform and reduced government oversight', 'Advocating for free-market economics and privatization', 'Defending the Jewish nation-state identity of Israel']","['Kohelet Forum', 'Judicial oversight', 'Labor unions', 'Government control', 'Kamala Harris']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party', 'Donald Trump', 'Vox populi, vox Dei']",75,"['אין שום קשר בין החוק המוצע למה שאתה מספר. בוררות ממונית בהסכמה. למי זה מפריע אם שני הצדדים מסכימים? זה גם היה המצב עד שבג', ',\n        ']","['cynical', 'frustrated']","['Promote free-market economics and privatization', ""Defend Israel's Jewish nation-state identity"", 'Reduce judicial oversight and increase parliamentary power']","The user exhibits a strong ideological commitment to the Kohelet Forum's agenda, which includes promoting judicial reform, free-market economics, and Israel's Jewish national identity, while opposing labor unions, government control, and judicial oversight."
ptr_dvd,7,"['judicial reform', 'economic policy', 'civil rights']","['military operations', 'counter-terrorism', 'border security']","{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,"{'analysis': 'The tweets show a relatively balanced focus on both security and judicial reform themes, with a slight emphasis on the latter.', 'score': '60'}","{'analysis': 'The majority of policy-related posts focus on judicial reform and civil rights issues, with less emphasis on economic policy and national security.', 'score': '30'}","{'analysis': 'The tone towards government oversight is highly critical, with the user arguing that the government should have greater power and less judicial oversight.', 'score': '8'}","{'analysis': 'The tweets prioritize the collective security and identity of Israel as a Jewish nation-state over individual civil liberties and rights.', 'score': '7'}","{'analysis': ""The tweets contain some references to international law, but these are used to criticize perceived attempts to undermine Israel's sovereignty and security interests."", 'score': '-50'}","{'analysis': 'The tweets do not directly address defense spending, but the overall focus on security and national identity suggests a continued priority on military capabilities.', 'score': '7'}","{'analysis': 'The tweets advocate for increased executive power and reduced judicial oversight, indicating a shift towards greater reliance on emergency powers and executive authority.', 'score': '4'}","{'analysis': 'The tweets place a significantly greater emphasis on judicial reform and reducing judicial oversight than on security-related issues.', 'score': '80'}","{'analysis': 'The tweets suggest a willingness to restrict civil liberties and individual rights in the name of collective security and national identity.', 'score': '8'}","{'analysis': ""The tweets focus primarily on domestic policy issues, with limited discussion of international relations or Israel's global standing."", 'score': '70'}","['Promoting judicial reform and reduced government oversight', 'Advocating for free-market economics and privatization', ""Defending the government's actions and criticizing opponents""]","['Yair Lapid', 'Benny Gantz', 'Labor Party', 'Movement for Quality Government in Israel', 'Israeli media']","['Benjamin Netanyahu', 'Simcha Rothman', 'Yariv Levin', 'Kohelet Forum', 'Religious Zionism Party']",75,"['רמת חוסר המחויבות של הארגון הזה להגינות בסיסית היא פשוט בלתי נתפסת.', 'אין שום דמוקרטיה על פני כדור הארץ שבה יועץ משפטי יכול לומר לראש הממשלה שהוא צריך לפטר שר.']","['cynical', 'frustrated']","['Promote judicial reform and reduced oversight', 'Advocate for free-market economics and privatization', ""Defend the government's actions and criticize opponents""]","The user exhibits a strong ideological bias in favor of the Kohelet Forum's agenda, aggressively attacking perceived opponents and defending the government's actions, even when they appear to violate democratic norms."
ptr_dvd,8,"['judicial reform', 'economic policy', 'civil rights']","['counter-terrorism', 'border security']","{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,"{'analysis': ""The tweets focus more on judicial reform than security-related issues, with a greater emphasis on criticizing the media's coverage of the reform."", 'score': '30'}","{'analysis': 'The tweets cover a mix of security, judicial, and economic policy issues, with a slightly greater focus on judicial reform than security or economic matters.', 'score': '40'}","{'analysis': ""The tweets express a generally negative view towards government oversight, portraying it as an obstacle to the government's agenda."", 'score': '8'}","{'analysis': 'The tweets prioritize collective security concerns over individual rights, justifying the use of administrative detention against Arabs.', 'score': '7'}","{'analysis': 'The tweets make limited references to international law, focusing more on domestic legal issues related to the judicial reform.', 'score': '20'}","{'analysis': 'The tweets do not directly address defense spending priorities, focusing more on judicial and civil rights issues.', 'score': '3'}","{'analysis': ""The tweets express support for the government's efforts to limit judicial oversight and increase parliamentary power, suggesting a preference for stronger executive authority."", 'score': '4'}","{'analysis': ""The tweets place a greater emphasis on judicial reform than security-related issues, with a clear focus on criticizing the media's coverage of the reform."", 'score': '70'}","{'analysis': 'The tweets justify the use of administrative detention against Arabs, suggesting a willingness to restrict civil liberties in the name of security.', 'score': '7'}","{'analysis': 'The tweets primarily focus on domestic political issues, with limited references to international relations or foreign policy.', 'score': '80'}",,,,,,,,
ptr_dvd,9,"['judicial reform', 'economic policy', 'civil rights']","['military operations', 'counter-terrorism']","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,,,,,,,,,,,"['Promoting judicial reform and reduced government oversight', 'Advocating for free-market economics and privatization', ""Defending Israel's identity as a Jewish nation-state""]","['Kohelet Forum', 'Yair Lapid', 'Dina Zilber']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",75,"['אתה קצין משטרה ואתה לא חושב שאתה צריך להיות בובת גרב של השב', ',\n        ']","['cynical', 'frustrated']","[""Promote Israel's identity as a Jewish nation-state"", 'Reduce government regulation and increase privatization']","The tweets reflect a strong ideological stance in favor of the Kohelet Forum's agenda, which includes reducing government oversight, promoting free-market economics, and defending Israel's Jewish identity. The tone is often cynical and frustrated towards perceived opponents of this agenda."
ptr_dvd,10,"['judicial reform', 'economic policy', 'civil rights']","['border security', 'counter-terrorism']","{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,,,,,,,,,,,,,,,,,,
ptr_dvd,11,"['judicial reform', 'economic policy', 'civil rights']","['border security', 'counter-terrorism']","{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,,,,,,,,,,,,,,,,,,
ptr_dvd,12,"['judicial reform', 'economic policy', 'civil rights']","['border security', 'counter-terrorism']","{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,,,,,,,,,,,,,,,,,,
