username,batch_id,narratives,attacked_entities,protected_entities,toxicity_level,toxic_examples,emotional_tones,stated_goals,psychological_profile,confidence_ratings,confidence_explanation
AmiadCohen,0,"[""Promoting Israel's Jewish identity"", 'Advocating for reduced government regulation', 'Supporting judicial reform and parliamentary power']","['Kohelet Forum', 'Benjamin Netanyahu', 'Benny Gantz', 'Gadi Eisenkot', 'Labor unions']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party', 'Amiad Cohen']",75,"['למה צריך להגיש נגדם כתבי אישום? הם תחת חוק הלב״חים ולא הדין הפלילי. צריך לצבוע את המפתח לכלוב שלהם בכחול ולזרוק לים', 'אם זה הסרטון שאתם מדברים עליו, הוא לא אומר מה שאתם רוצים שהוא יגיד.']","['angry', 'cynical']","[""Promoting Israel's identity as a Jewish nation-state"", 'Reducing judicial oversight and strengthening parliamentary power', 'Advocating for free-market economics and privatization']","Strongly ideological, with a focus on advancing a nationalist, pro-business agenda and reducing government influence.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,1,"['Criticizing political and military leadership', 'Advocating for accountability and reform', 'Promoting nationalist and free-market ideology']","['Benjamin Netanyahu', 'Benny Gantz', 'Ehud Barak', 'Naftali Bennett', 'Yair Lapid']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party', 'Kohelet Forum']",70,"['לשקר, לרמות ולזייף כדי לקבל שררה זה לא היהדות שלי', 'מי שרוצה ניצחון מוחלט לא נושא ונותן מי שרוצה עיסקה, מדבר על ניצחון מוחלט ומי שדורש עסקה, יאלץ בסוף להכנע.']","['angry', 'cynical']","['Promote free-market economics and reduce government regulation', ""Strengthen Israel's identity as a Jewish nation-state"", 'Reduce judicial oversight and increase parliamentary power']","Highly critical of political and military leadership, advocating for accountability and reform from a nationalist, free-market perspective.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,2,"['Criticizing Israeli military and intelligence failures', 'Advocating for economic reforms and tax simplification', 'Expressing concerns about antisemitism on university campuses']","['Hamas', 'Israeli military leadership', 'Brown University']","['Kohelet Forum', 'Simcha Rothman', 'Yariv Levin']",60,"['אנחנו לא נעמוד בלי לנצח את המלחמה. יש כל כך הרבה דברים שאפשר לעשות לפני שנכנעים לאוייבים בגלל החשש מעליית מחירי הסנדוויצ׳ים בארומה.', 'חיילנו בצפון, נא לא לבקש סיוע אווירי בימים הקרובים. אנחנו נהיה עסוקים בדחיפת האג׳נדה הפוליטית שלנו בעזרת הוואסח הצבאי שלנו.']","['angry', 'cynical']","[""Improve Israel's military capabilities"", ""Simplify Israel's tax system""]","The user appears to be a supporter of the Kohelet Forum's agenda, which includes promoting free-market economics, reducing government regulation, and strengthening Israel's identity as a Jewish nation-state.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,3,"[""Promoting Israel's Jewish identity"", 'Advocating for reduced government regulation', 'Supporting judicial reform and parliamentary power']","['Yair Lapid', 'Labor unions', 'Judicial system']","['Kohelet Forum', 'Simcha Rothman', 'Religious Zionism Party']",75,"['למה לסגת מהשטח? להמשיך להשמיד אותם מהאוויר אחרי שמנענו מהם את האפשרות לפשוט על יישובי הצפון. אחרי שהם יכנעו נדבר. תחשוב על רמת הגולן בששת הימים', 'גרטה: אני רוצה להודות לחמאס על הסיוע בהצלת כדור הארץ וצמצום חתימת הפחמן של יהודים. פחות יהודים, פחות פליטות פד״ח.']","['angry', 'cynical']","[""Promoting Israel's Jewish identity"", 'Reducing government regulation and oversight']","Strongly ideological, favoring nationalist and free-market policies, critical of left-wing and liberal views.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,4,"['Promoting free-market economics', 'Reducing judicial oversight', 'Strengthening parliamentary power']","['Kohelet Forum', 'Left-wing media', 'Labor unions']","['Benjamin Netanyahu', 'Simcha Rothman', 'Religious Zionism Party']",75,"['כל מי שלא מסכים איתי הוא מכונת רעל. #זאת_הרמה', 'אֶרְדּוֹף אוֹיְבַי וְאַשִּׂיגֵם וְלֹא אָשׁוּב עַד כַּלּוֹתָם']","['angry', 'cynical']","['Reducing government regulation', ""Promoting Israel's Jewish identity"", 'Limiting judicial oversight']","Highly ideological, with a combative and uncompromising approach to political issues.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,5,"['Promoting free-market economics and reduced government', ""Advocating for Israel's Jewish nation-state identity"", 'Opposing labor unions and supporting privatization']","['Kohelet Forum', 'Kamala Harris', 'Israeli left and its American friends']","['Douglas Murray', 'Ben Shapiro', 'Donald Trump']",75,"['מעולם לא פגשתי אנשים שלא מסכימים איתי. פעם בטעות פגשתי אדם כזה, אבל ברור שהוא היה אדם רשע לכן אני לא סופר את זה.', 'בן גביר אדם נאלח, רדוד, פאשיסט, אלים וגזען. מה זה קשור?']","['cynical', 'angry']","[""Promoting Israel's Jewish nation-state identity"", 'Reducing government control and increasing privatization', 'Advocating for free-market economics']","Strongly ideological, dismissive of opposing views, and prone to using inflammatory language against perceived adversaries.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,6,"['Criticizing left-wing control of education', 'Advocating for judicial reform and reduced government power', ""Promoting Israel's identity as a Jewish nation-state""]","['Ministry of Education', 'Labor unions', 'International Criminal Court (ICC)']","['Kohelet Forum', 'Amiad Cohen', 'Douglas Murray']",70,"['כל הפקידות של מערכת החינוך היא שמאל. איגודי עובדים זה שמאל.', 'התגובה על הפעלת הכח הבלתי מרוסנות של הפרקליטות על פלדשטיין, אבדן הגבולות של מיארה והטמטום של הICC , יחזור אליהם באותה עוצמה מהצד השני.']","['angry', 'cynical']","['Reduce government control over education', ""Strengthen Israel's Jewish identity"", 'Limit judicial oversight and increase parliamentary power']","The user exhibits a strong ideological stance aligned with the Kohelet Forum's beliefs, expressing anger and cynicism towards perceived left-wing and anti-Israel entities.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,7,"['Promoting free-market economics', ""Advocating for Israel's Jewish identity"", 'Opposing judicial oversight and labor unions']","['The Movement for Quality Government', 'Haaretz newspaper', 'Mahmoud Abbas', 'The Israeli left', 'Democratic governance']","['Kohelet Forum', 'Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party', 'Argentine Defense Minister Luis Padreri']",75,"['התנועה לאיכות השלטון מעריצה את ראש השירות החשאי כדי שהוא ישתמש בכוחו להדיח ראש ממשלה מכהן שנבחר בבחירות דמוקרטיות רק בגלל שהוא מהמפלגה היריבה. מאד ליברלי מצידם', 'אתה חושב ששירתתי כמעט 300 יום במילואים בגלל ביטוח לאומי וקצבת הזקנה??? אין ספק שצריך לקיים שיחה רצינית ביחס למודל הגיוס, אבל מדינת הרווחה לא קשורה למוטיווציה']","['cynical', 'angry']","[""Promoting Israel's Jewish identity"", 'Reducing government regulation and oversight', 'Strengthening the military and security forces']",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,8,"['Criticizing Israeli media bias', ""Defending Kohelet Forum's judicial reform"", 'Predicting instability in Middle East']","['Avishay Braverman', 'Israeli media', 'Supreme Court', 'Naftali Bennett']","['Kohelet Forum', 'Mark Levin', 'Simcha Rothman', 'Yariv Levin']",75,"['כולככככככם שומרי סף (רק החברים של יניב רוזנאי ותומכי היוריסטיקראטיה)', 'הרמה של ה', ' בישראל כל כך נמוכה שזה מביך.']","['cynical', 'angry']","[""Strengthen Knesset's oversight over executive"", 'Prepare IDF for potential regional instability']",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,9,"['Criticizing judicial oversight and supporting parliamentary power', 'Advocating for free-market economics and reduced regulation', 'Opposing labor unions and supporting privatization']","['Kohelet Forum', 'Benny Gantz', 'Yair Lapid', 'Israeli media', 'Labor unions']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party', 'Free market economics']",75,"['תומך שלטון המיעוט היוריסטיקרטי מנסה להגדיר מי יכול להחליט לצאת למלחמה . אז בדמוקרטיה, כמו שאנשים ליברלים מגדירים, יש רק סוג אחד של אנשים שיכול להחליט לצאת למלחמה - נבחרי ציבור. הבעיה שרהב לא אוהב את שמחה, ואת הציבור ששמחה מייצג, אז כאנטי דמוקרט מצוי, הוא מבטל את הלגיטימיות של נציגי ציבור שהוא לא מסכים איתם. בושה וחרפה', 'למה זה טרגדיה? הדבר היחיד שהוציא אנשים מעוני זה שוק חופשי. הדבר היחיד שמוביל לצמיחה זה מנגנוני הגנה לקניין הפרט הדבר היחיד שמאפשר מערכת חינוך טובה, זאת מערכת חינוך חופשית המנגנון היחיד שמאפשר מוביליות חברתית אלה חוקי עבודה גמישים ומריטוקראטים מרכיב קריטי שמאפשר יזמות זה העדר רגולציה מי שרוצה שאנשים יחיו בעוני מחזיק אותם קצר על תשלומי רווחה ממשלתיים ומונע מהם להתקדם בעבודה עם מנגנוני קביעות ומונע מאחרים להכנס לשוק העבודה עם גילדות.']","['cynical', 'angry']","['Reduce judicial oversight and strengthen parliamentary power', 'Promote free-market economics and privatization', 'Oppose labor unions and increase economic deregulation']","Strongly ideological, with a focus on promoting free-market policies and reducing government intervention, even at the expense of democratic institutions and worker protections.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
